date,volume,high,low,adj_close,close,open
2020-01-31,46990,5.3,5.05,5.07,5.07,5.24
2020-01-30,6090,5.12,5.1,5.1,5.1,5.2001
2020-01-29,48195,5.35,5.2,5.3,5.3,5.35
2020-01-28,114739,5.6,5.12,5.4,5.4,5.1642
2020-01-27,5029,5.18,5.02,5.02,5.02,5.105
2020-01-24,1882,5.12,5.01,5.01,5.01,5.12
2020-01-23,23411,5.21,5.09,5.12,5.12,5.1
2020-01-22,16421,5.15,5.1,5.15,5.15,5.1101
2020-01-21,12397,5.2,5.1,5.12,5.12,5.2
2020-01-17,17312,5.28,5.1501,5.2,5.2,5.2
2020-01-16,9626,5.28,5.1,5.25,5.25,5.28
2020-01-15,13212,5.255,5.11,5.19,5.19,5.22
2020-01-13,1460,5.26,5.21,5.24,5.24,5.26
2020-01-10,17473,5.2446,5.1,5.18,5.18,5.22
2020-01-09,24127,5.26,5.08,5.26,5.26,5.113
2020-01-08,100390,5.2,5.03,5.09,5.09,5.183
2020-01-07,29852,5.2,5.14,5.2,5.2,5.146
2020-01-06,56673,5.35,5.1,5.2,5.2,5.25
2020-01-03,115065,5.5,5.19,5.2,5.2,5.33
2020-01-02,67355,5.4,5.26,5.35,5.35,5.35
