date,volume,high,low,adj_close,close,open
2020-01-31,59288,5.45,4.88,5.01,5.01,5.45
2020-01-30,113728,5.75,5.2002,5.31,5.31,5.7
2020-01-29,124247,5.85,5.12,5.8,5.8,5.18
2020-01-28,58611,5.75,5,5.305,5.305,5.42
2020-01-27,81401,5.65,5.03,5.33,5.33,5.03
2020-01-24,121613,5.05,4.515,5.02,5.02,4.6752
2020-01-23,18946,4.95,4.61,4.61,4.61,4.95
2020-01-22,21427,5.12,4.71,4.95,4.95,4.95
2020-01-21,19755,4.9991,4.77,4.88,4.88,4.77
2020-01-17,75795,5.2,4.645,4.69,4.69,4.9
2020-01-16,31356,4.8991,4.7109,4.86,4.86,4.76
2020-01-15,84499,4.75,4.5,4.64,4.64,4.52
2020-01-13,45150,4.13,3.87,3.87,3.87,4.12
2020-01-10,34050,4.34,4.13,4.13,4.13,4.34
2020-01-09,15859,4.3739,4.26,4.31,4.31,4.3
2020-01-08,23975,4.42,4.17,4.27,4.27,4.17
2020-01-07,38183,4.43,4.105,4.2,4.2,4.4
2020-01-06,24724,4.57,4.32,4.44,4.44,4.32
2020-01-03,70476,4.73,4.31,4.31,4.31,4.6
2020-01-02,42886,4.4,3.95,4.31,4.31,4.4
