date,volume,high,low,adj_close,close,open
2020-01-31,157108,47.06,46.03,46.11,46.11,47.06
2020-01-30,113947,47.5,46.75,47.24,47.24,47.28
2020-01-29,111295,48.4,47.39,47.41,47.41,47.71
2020-01-28,54975,47.84,47.18,47.66,47.66,47.67
2020-01-27,69012,47.77,46.59,47.23,47.23,46.97
2020-01-24,83419,48.3727,47.48,47.8,47.8,48.26
2020-01-23,88314,48.41,47.33,48.27,48.27,47.8
2020-01-22,78337,48.1,47.66,47.85,47.85,47.96
2020-01-21,98713,48.16,47.4,47.97,47.97,47.78
2020-01-17,102513,48.21,47.73,48.155,48.155,48.08
2020-01-16,101010,47.9027,46.905,47.785,47.785,47.12
2020-01-15,111563,47.18,46.54,46.82,46.82,46.63
2020-01-14,123739,46.94,46.2,46.805,46.805,46.29
2020-01-13,117667,46.52,45.5905,46.4,46.4,45.72
2020-01-10,72614,46.12,45.57,45.72,45.72,46.12
2020-01-09,100373,46.75,45.88,46,46,46.5
2020-01-08,99286,46.5,45.615,46.5,46.5,45.75
2020-01-07,81522,45.95,45.55,45.76,45.76,45.95
2020-01-06,159488,46.04,45.04,45.83,45.83,45.3
2020-01-03,162511,45.83,44.895,45.81,45.81,45.28
2020-01-02,193976,45.955,44.53,45.94,45.94,44.8
