date,volume,high,low,adj_close,close,open
2020-01-31,148245,18.254,17.1,17.51,17.51,17.89
2020-01-30,99536,18.8134,17.65,17.86,17.86,18.64
2020-01-29,88028,20.29,18.55,18.8,18.8,20.12
2020-01-28,111411,20.26,19.62,20.03,20.03,19.88
2020-01-27,122225,20.15,19.24,19.75,19.75,19.58
2020-01-24,102308,20.195,19.23,19.95,19.95,20.12
2020-01-23,143304,20.1,19.16,20,20,19.45
2020-01-22,171535,20.645,19.08,19.59,19.59,20.25
2020-01-21,331289,20.99,19.7,20.2,20.2,19.93
2020-01-17,416771,19.84,19.26,19.71,19.71,19.41
2020-01-16,191908,19.36,18.81,19.2,19.2,19.24
2020-01-15,79326,19.8,18.79,18.9,18.9,19.4
2020-01-13,123956,19.12,18.45,19.06,19.06,18.78
2020-01-10,123439,18.92,17.95,18.72,18.72,17.96
2020-01-09,126912,18.21,17.59,17.96,17.96,17.75
2020-01-08,113037,17.97,17.51,17.81,17.81,17.86
2020-01-07,393943,18.0694,17.28,17.98,17.98,17.81
2020-01-06,186184,18.84,17.76,17.81,17.81,18.58
2020-01-03,112882,19.115,18.5,18.84,18.84,18.84
2020-01-02,97475,19.25,18.75,19.07,19.07,19.12
