date,volume,high,low,adj_close,close,open
2020-01-31,258677,58.3,56.15,58.07,58.07,56.28
2020-01-30,148080,56.93,54.85,56.32,56.32,55.08
2020-01-29,153150,56.135,54.53,55.82,55.82,55.36
2020-01-28,166421,55.2694,53.61,55.13,55.13,54.38
2020-01-27,152399,54.15,51.43,53.87,53.87,51.9
2020-01-24,361777,57.85,52.89,53.01,53.01,57.59
2020-01-23,330314,58.12,56.08,57.17,57.17,56.83
2020-01-22,239793,57.785,54.81,57.01,57.01,55.29
2020-01-21,275144,55.37,53.26,54.78,54.78,54.56
2020-01-17,471857,55.09,50.255,54.88,54.88,51.58
2020-01-16,426688,53.33,50.46,51.34,51.34,51.55
2020-01-15,392122,52.88,50.13,51.38,51.38,50.13
2020-01-14,270485,50.98,48.205,50.29,50.29,48.78
2020-01-13,150707,48.94,47.51,48.685,48.685,48.6
2020-01-10,214087,48.52,47.44,48.44,48.44,47.6
2020-01-09,472754,48.44,47.23,47.32,47.32,48.09
2020-01-08,264122,48.56,47.51,48.04,48.04,47.59
2020-01-07,316832,48.3,47.15,47.88,47.88,47.76
2020-01-06,286248,48.49,46.29,48.1,48.1,46.59
2020-01-03,286604,47.91,46.315,47.03,47.03,47.91
2020-01-02,367359,49.26,47.13,48.36,48.36,48.98
