date,volume,high,low,adj_close,close,open
2020-01-31,2312061,4.14,3.75,3.84,3.84,4.13
2020-01-30,980928,4.461,4.09,4.115,4.115,4.49
2020-01-29,2018991,4.48,4.03,4.43,4.43,4.3
2020-01-28,2877785,4.8,4.27,4.31,4.31,4.55
2020-01-27,4026477,4.78,4.15,4.56,4.56,4.28
2020-01-24,1.138839e+07,4.83,3.91,4.505,4.505,4.14
2020-01-23,1.869757e+07,4.45,3.32,4.22,4.22,3.59
2020-01-22,1.689322e+07,3.89,2.95,3.265,3.265,2.97
2020-01-21,2085399,2.93,2.67,2.77,2.77,2.73
2020-01-17,3015069,2.96,2.5145,2.67,2.67,2.8
2020-01-16,4510379,2.87,2.3,2.83,2.83,2.51
2020-01-15,3155240,2.56,2.265,2.49,2.49,2.49
2020-01-14,2232077,2.93,2.54,2.66,2.66,2.93
2020-01-13,7407571,3.32,2.41,2.69,2.69,2.83
2020-01-10,2.994885e+07,3.9,2.69,2.75,2.75,3.22
2020-01-09,5.396664e+07,3.43,1.58,2.89,2.89,1.6
2020-01-08,4745825,1.53,1.18,1.49,1.49,1.18
2020-01-07,5564425,1.5,1.08,1.19,1.19,1.3
2020-01-06,2635505,1.24,1.05,1.14,1.14,1.15
2020-01-03,3459468,1.4,1.21,1.26,1.26,1.36
2020-01-02,1.448526e+07,1.73,1.13,1.49,1.49,1.17
