date,volume,high,low,adj_close,close,open
2020-01-30,163,8.45,8.45,8.45,8.45,8.45
2020-01-27,637,8.6715,8.0843,8.0843,8.0843,8.33
2020-01-24,818,9.367,9.28,9.3118,9.3118,9.367
2020-01-23,900,9.51,9.51,9.51,9.51,9.51
2020-01-22,96,9.51,9.4,9.51,9.51,10
2020-01-17,14,10.5,10.25,10.25,10.25,10
2020-01-15,100,10,10,10,10,10
2020-01-14,1270,9.8,9.75,9.75,9.75,10.55
2020-01-13,2206,10.3,10,10.3,10.3,10
2020-01-10,570,10.35,10.29,10.29,10.29,10.3
2020-01-09,1023,10.91,10.25,10.91,10.91,10.6
2020-01-08,3460,10.68,10.5,10.68,10.68,10.51
2020-01-07,21,9.98,9.98,9.98,9.98,10
2020-01-06,390,10,10,10,10,10
2020-01-03,4307,10.6875,10.49,10.5,10.5,10.6875
2020-01-02,5890,10.9,10.23,10.5,10.5,10.9
