date,volume,high,low,adj_close,close,open
2020-01-31,1.53905e+07,653,632.52,650.57,650.57,640
2020-01-30,2.819198e+07,650.88,618.15,640.81,640.81,632.42
2020-01-29,1.360252e+07,589.75,567.5,580.99,580.99,575.69
2020-01-28,1.124602e+07,576.81,558.08,566.9,566.9,568.49
2020-01-27,1.320428e+07,564.44,539.392,558.02,558.02,541.99
2020-01-24,1.387906e+07,573.86,555.07,564.82,564.82,570.63
2020-01-23,1.922434e+07,582,555.603,572.2,572.2,564.25
2020-01-22,3.095862e+07,594.48,559.12,569.56,569.56,571.89
2020-01-21,1.709892e+07,548.52,528.41,547.2,547.2,530.25
2020-01-17,1.298426e+07,515.668,503.16,510.5,510.5,507.61
2020-01-16,2.154533e+07,514.46,492.2,513.49,513.49,493.75
2020-01-15,1.692786e+07,537.826,516.785,518.5,518.5,529.76
2020-01-14,2.857033e+07,547.41,524.99,537.92,537.92,544.255
2020-01-13,2.603994e+07,525.57,492,524.86,524.86,493.5
2020-01-10,1.260369e+07,484.94,473.7,478.15,478.15,481.79
2020-01-09,2.811866e+07,498.8,472.87,481.34,481.34,497.1
2020-01-08,3.055774e+07,498.49,468.23,492.14,492.14,473.7
2020-01-07,1.765602e+07,471.63,453.355,469.06,469.06,461.4
2020-01-06,9890872,451.55,440,451.54,451.54,440.47
2020-01-03,1.736874e+07,454,436.92,443.01,443.01,440.5
2020-01-02,9282085,430.68,421.71,430.26,430.26,424.5
