date,volume,high,low,adj_close,close,open
2020-01-31,410226,89.35,85.48,85.6,85.6,88.67
2020-01-30,597764,89.935,84.01,88.79,88.79,89.43
2020-01-29,184179,90.49,89.035,89.43,89.43,89.67
2020-01-28,143376,89.87,88.87,89.56,89.56,89.06
2020-01-27,197173,89.34,87.17,88.82,88.82,87.17
2020-01-24,154874,90.54,88,88.71,88.71,89.72
2020-01-23,218739,90.32,88.91,89.51,89.51,89.69
2020-01-22,215165,90.63,89.34,90.09,90.09,89.77
2020-01-21,134260,89.49,88.46,89.27,89.27,88.77
2020-01-17,175922,90,88.88,89.11,89.11,90
2020-01-16,159353,89.92,88.785,89.24,89.24,88.85
2020-01-15,172403,88.99,87.74,88.26,88.26,87.96
2020-01-14,177853,88.73,87.93,88.09,88.09,88.04
2020-01-13,99397,88.39,87.09,88.36,88.36,87.3
2020-01-10,108028,87.59,86.32,87.08,87.08,87.08
2020-01-09,165268,87.91,86.06,87.26,87.26,87.01
2020-01-08,169572,87.46,85.39,86.32,86.32,85.78
2020-01-07,130804,86.69,85.38,85.8,85.8,86.46
2020-01-06,198762,87.13,85.38,87.08,87.08,86.24
2020-01-03,231037,87.38,84.76,87.04,87.04,85.13
2020-01-02,209234,86.62,84.675,86.3,86.3,86.61
