date,volume,high,low,adj_close,close,open
2020-01-31,3316845,2.45,2.23,2.25,2.25,2.35
2020-01-30,1857095,2.46,2.35,2.37,2.37,2.44
2020-01-29,1514467,2.545,2.45,2.45,2.45,2.52
2020-01-28,2477163,2.6535,2.48,2.52,2.52,2.53
2020-01-27,1867173,2.54,2.39,2.51,2.51,2.4
2020-01-24,2846477,2.58,2.42,2.48,2.48,2.53
2020-01-23,2661932,2.67,2.535,2.56,2.56,2.67
2020-01-22,4438850,2.92,2.64,2.7,2.7,2.83
2020-01-21,1.070753e+07,2.9,2.32,2.81,2.81,2.33
2020-01-17,2756694,2.44,2.3,2.31,2.31,2.4
2020-01-16,5255578,2.62,2.365,2.38,2.38,2.59
2020-01-15,5981141,2.69,2.44,2.55,2.55,2.46
2020-01-14,3885153,2.47,2.34,2.45,2.45,2.37
2020-01-13,2039145,2.37,2.25,2.37,2.37,2.33
2020-01-10,1517437,2.37,2.25,2.34,2.34,2.28
2020-01-09,1943185,2.33,2.24,2.3,2.3,2.33
2020-01-08,2944352,2.34,2.24,2.31,2.31,2.32
2020-01-07,2293992,2.37,2.26,2.26,2.26,2.34
2020-01-06,2717810,2.37,2.25,2.34,2.34,2.34
2020-01-03,2634135,2.45,2.3,2.31,2.31,2.42
2020-01-02,4099708,2.45,2.32,2.44,2.44,2.42
