date,volume,high,low,adj_close,close,open
2020-01-31,5481655,123.64,119.96,120.65,120.65,123.36
2020-01-30,4401925,124.665,122.27,124.42,124.42,123.22
2020-01-29,3928730,128.51,125.45,125.49,125.49,127.55
2020-01-28,3883555,128.31,126.76,128.04,128.04,127.15
2020-01-27,4868385,129.23,126.25,126.31,126.31,128.65
2020-01-24,5307315,135.43,129.75,130.52,130.52,134.8
2020-01-23,7474457,134.41,129.65,134.25,134.25,131.42
2020-01-22,7907794,135.69,131.82,133.34,133.34,132.02
2020-01-21,5441474,132.19,130.58,130.86,130.86,131.09
2020-01-17,4179059,132.04,130.44,131.7,131.7,130.76
2020-01-16,4415534,130.23,129.36,130.16,130.16,130
2020-01-15,3202994,130.43,128.86,129.17,129.17,130.43
2020-01-14,3762999,131.86,129.83,130.67,130.67,129.95
2020-01-13,3147938,130.69,129.775,129.95,129.95,130.57
2020-01-10,2757235,131.81,129.82,130,130,131.81
2020-01-09,2931438,131.74,130.25,131.33,131.33,130.7
2020-01-08,2283336,130.57,129.06,129.76,129.76,129.34
2020-01-07,6909086,130.89,128.42,129.41,129.41,129.15
2020-01-06,2886201,127.33,125.92,126.96,126.96,127.06
2020-01-03,3189242,128.53,127.23,127.85,127.85,127.46
2020-01-02,3651918,129.61,127.77,129.57,129.57,129.13
