date,volume,high,low,adj_close,close,open
2020-01-31,52565,10.85,10.06,10.15,10.15,10.85
2020-01-30,29125,11.27,10.8,10.87,10.87,11.25
2020-01-29,35282,11.42,11.25,11.28,11.28,11.4
2020-01-28,38155,11.45,11.135,11.36,11.36,11.35
2020-01-27,24877,11.5498,11.25,11.27,11.27,11.3
2020-01-24,33983,12.3961,11.32,11.33,11.33,11.75
2020-01-23,60671,11.88,10.75,11.78,11.78,10.88
2020-01-22,32709,11.215,10.9,10.97,10.97,11.13
2020-01-21,31468,11.21,10.81,10.97,10.97,10.81
2020-01-17,29481,11.15,10.79,10.91,10.91,11.15
2020-01-16,20570,11.45,11.04,11.1,11.1,11.04
2020-01-15,29462,11.38,10.85,10.86,10.86,11.18
2020-01-14,30804,11.46,11.07,11.09,11.09,11.29
2020-01-13,48627,11.3,10.75,11.28,11.28,10.82
2020-01-10,43258,10.94,10.6135,10.72,10.72,10.7
2020-01-09,48576,10.96,10.75,10.8,10.8,10.94
2020-01-08,31217,11.01,10.82,10.94,10.94,10.9
2020-01-07,26199,11.1599,10.85,10.96,10.96,10.88
2020-01-06,25516,11.28,10.92,10.95,10.95,11.27
2020-01-03,31321,11.3,10.87,11.27,11.27,10.87
2020-01-02,35998,11.2,10.69,11.03,11.03,10.83
