date,volume,high,low,adj_close,close,open
2020-01-31,9771,26.09,25.458,25.46,25.46,26.09
2020-01-30,7792,26.14,25.71,25.94,25.94,26.05
2020-01-29,13640,27.28,26.3016,26.3016,26.3016,27.28
2020-01-28,10580,27.2979,27,27.2172,27.2172,27.03
2020-01-27,10448,26.91,26.6,26.895,26.895,26.66
2020-01-24,14138,27.78,27.0163,27.065,27.065,27.76
2020-01-23,18886,27.825,27.51,27.825,27.825,27.81
2020-01-22,23798,28.08,27.95,28.0686,28.0686,27.98
2020-01-21,12213,27.8612,27.76,27.7716,27.7716,27.86
2020-01-17,6550,27.8404,27.71,27.7488,27.7488,27.75
2020-01-16,7757,27.75,27.66,27.7251,27.7251,27.66
2020-01-15,8601,27.5402,27.46,27.535,27.535,27.5
2020-01-13,30343,27.53,27.1149,27.4921,27.4921,27.27
2020-01-10,10128,27.21,27.0901,27.1953,27.1953,27.1
2020-01-09,7516,27.0885,26.95,27.04,27.04,27
2020-01-08,6539,26.93,26.69,26.93,26.93,26.89
2020-01-07,6083,27.015,26.86,26.935,26.935,26.86
2020-01-06,12908,27.13,26.9,26.9287,26.9287,27.13
2020-01-03,19154,27,26.53,26.99,26.99,26.53
2020-01-02,18512,26.76,26.49,26.76,26.76,26.49
