date,volume,high,low,adj_close,close,open
2020-01-31,31606,46.99,46.1,46.63,46.63,46.99
2020-01-30,22444,47.15,46.42,46.95,46.95,47
2020-01-29,32526,47.43,46.82,47.15,47.15,47.01
2020-01-28,25054,47.12,46,47.01,47.01,46.93
2020-01-27,32715,47.26,46.15,46.6,46.6,46.15
2020-01-24,22680,47.29,46.575,46.8,46.8,46.995
2020-01-23,28854,47.68,46.83,47.2,47.2,47.05
2020-01-22,82361,47.25,46.46,47.07,47.07,46.2501
2020-01-21,38406,47.12,46.25,46.51,46.51,46.88
2020-01-17,44981,48.09,47,47.11,47.11,47.99
2020-01-16,53223,48.38,47.62,47.79,47.79,48.28
2020-01-15,42859,48.35,47.465,48,48,47.8
2020-01-14,71724,48.45,47.63,47.7,47.7,47.81
2020-01-13,42684,49.135,47.3,47.63,47.63,47.54
2020-01-10,32282,48.16,46.93,47.4,47.4,47.75
2020-01-09,30053,48.73,47.61,47.9,47.9,48.62
2020-01-08,40077,49.6721,46.09,48.35,48.35,47.36
2020-01-07,18428,47.74,47,47.33,47.33,47.2
2020-01-06,23864,47.77,47.01,47.33,47.33,47.4
2020-01-03,18265,48.79,47.25,47.75,47.75,48.15
2020-01-02,33532,49.89,48.12,48.14,48.14,49.45
