date,volume,high,low,adj_close,close,open
2020-01-31,161063,30.07,28.58,29.41,29.41,29.75
2020-01-30,94973,30.87,29,30.05,30.05,30.84
2020-01-29,136103,31.69,29.81,31.28,31.28,30.1
2020-01-28,133154,30.16,28.13,30.03,30.03,28.36
2020-01-27,151215,29.845,27.94,28.09,28.09,29.52
2020-01-24,309480,31.03,28.43,30.45,30.45,30.78
2020-01-23,248481,31.3,29.01,31,31,30.44
2020-01-22,369778,33.6347,30,30.39,30.39,33.41
2020-01-21,116724,34.41,33.17,33.18,33.18,33.7
2020-01-17,243882,35,33.35,33.85,33.85,34.86
2020-01-16,250977,34.7,32.265,34.6,34.6,32.48
2020-01-15,213484,32.56,31.71,32.48,32.48,31.8
2020-01-14,258416,32.52,31.6398,31.8,31.8,31.66
2020-01-13,151544,31.9,30.09,31.77,31.77,31.22
2020-01-10,110062,32.505,31.45,31.56,31.56,31.68
2020-01-09,119929,32.65,31.13,31.59,31.59,32.15
2020-01-08,214150,32.5496,31.68,32.23,32.23,31.68
2020-01-07,111311,32.205,31.48,31.65,31.65,31.99
2020-01-06,124975,32.27,30.66,32.08,32.08,31.52
2020-01-03,115844,32.82,31.82,31.88,31.88,31.99
2020-01-02,149399,33.47,31.68,32.57,32.57,33.47
