date,volume,high,low,adj_close,close,open
2020-01-31,14668,34.45,31.25,32.95,32.95,31.25
2020-01-30,6252,31.3995,29.5,31.2,31.2,29.7
2020-01-29,9968,32.03,30.44,30.5,30.5,32
2020-01-28,6725,34.24,32.13,32.41,32.41,34.2
2020-01-27,3815,35.09,34.03,34.03,34.03,34.8
2020-01-24,15789,35.1,32.1,34.88,34.88,32.1
2020-01-23,2580,32.26,31.485,32.26,32.26,31.47
2020-01-22,5520,33.17,31.45,31.6,31.6,31.87
2020-01-21,10775,32,31.2,31.86,31.86,31.28
2020-01-17,2357,32.6,31.69,32.11,32.11,32.5
2020-01-16,19448,36.1973,29.225,32.35,32.35,34.66
2020-01-15,10943,34.43,33.44,34.11,34.11,33.5
2020-01-14,6110,34.6,32.21,33.55,33.55,34.03
2020-01-13,4814,32.81,31.46,32.6,32.6,31.49
2020-01-10,4678,31.8,31.05,31.49,31.49,31.05
2020-01-09,8736,31.5,28.52,31.25,31.25,28.85
2020-01-08,2167,28.98,28.6,28.67,28.67,28.6
2020-01-07,3365,28.7,28.36,28.7,28.7,28.46
2020-01-06,5287,29.29,28.02,28.85,28.85,28.27
2020-01-03,6944,28.79,26.99,28.57,28.57,27.305
2020-01-02,3696,29.59,28.77,29.1,29.1,29.59
