date,volume,high,low,adj_close,close,open
2020-01-30,912,40.5,40,40.01,40.01,40.5
2020-01-29,329,40.5,40.5,40.5,40.5,40.5
2020-01-23,422,42,41.35,42,42,42
2020-01-22,1742,43,42,42,42,43
2020-01-21,4833,43.99,40.3959,43,43,48.39
2020-01-14,1636,38.65,37.67,37.67,37.67,38.19
2020-01-13,2724,37.42,37.42,37.775,37.775,37.42
2020-01-10,32,38.2,37.42,38.2,38.2,37.8634
2020-01-09,1001,38.2,37.9335,38.2,38.2,37.8634
2020-01-08,2434,38.2,37.9,37.9,37.9,37.9024
2020-01-07,207,37.259,37.259,37.259,37.259,37.259
2020-01-06,6598,38.2,37.7,37.7,37.7,38.2
2020-01-03,1556,38.15,38.1,38.15,38.15,37.4379
2020-01-02,1440,38.15,38.15,38.15,38.15,38.15
