date,volume,high,low,adj_close,close,open
2020-01-31,1807498,1.39,1.33,1.37,1.37,1.38
2020-01-30,4224636,1.53,1.35,1.39,1.39,1.52
2020-01-29,6634620,1.61,1.43,1.46,1.46,1.46
2020-01-28,2772432,1.42,1.28,1.41,1.41,1.31
2020-01-27,4730467,1.38,1.18,1.36,1.36,1.23
2020-01-24,4356661,1.4,1.23,1.28,1.28,1.35
2020-01-23,1.307438e+07,1.48,1.05,1.29,1.29,1.46
2020-01-22,5798726,1.66,1.45,1.46,1.46,1.64
2020-01-21,3527230,1.74,1.61,1.66,1.66,1.65
2020-01-17,6586260,1.77,1.58,1.63,1.63,1.77
2020-01-16,3990396,1.87,1.74,1.78,1.78,1.85
2020-01-15,5226695,1.84,1.66,1.82,1.82,1.72
2020-01-14,9968776,1.9296,1.59,1.73,1.73,1.92
2020-01-13,1.624101e+07,1.98,1.67,1.91,1.91,1.74
2020-01-10,1.290498e+07,1.7,1.41,1.63,1.63,1.47
2020-01-09,2.982784e+07,1.65,1.3754,1.43,1.43,1.59
2020-01-08,4417780,1.39,1.28,1.36,1.36,1.35
2020-01-07,6340699,1.53,1.35,1.39,1.39,1.47
2020-01-06,4213797,1.42,1.26,1.415,1.415,1.31
2020-01-03,3381933,1.35,1.28,1.315,1.315,1.28
2020-01-02,4791093,1.41,1.3,1.34,1.34,1.41
