date,volume,high,low,adj_close,close,open
2020-01-31,2314009,93.34,93.09,93.34,93.34,93.15
2020-01-30,1854529,93.1417,92.8564,93.03,93.03,93.02
2020-01-29,2585091,93.01,92.8,92.9,92.9,92.8
2020-01-28,3425314,92.76,92.61,92.71,92.71,92.73
2020-01-27,2961498,92.77,92.64,92.74,92.74,92.71
2020-01-24,2834861,92.62,92.4356,92.56,92.56,92.53
2020-01-23,2502525,92.46,92.26,92.4,92.4,92.35
2020-01-22,5461755,92.31,92.2,92.26,92.26,92.21
2020-01-21,2189186,92.2,91.98,92.18,92.18,92.11
2020-01-17,4176761,91.955,91.815,91.92,91.92,91.83
2020-01-16,3486155,91.9858,91.815,91.94,91.94,91.9
2020-01-15,1646501,92,91.805,91.92,91.92,91.92
2020-01-14,1.328939e+07,91.77,91.6394,91.77,91.77,91.68
2020-01-13,1883569,91.75,91.63,91.66,91.66,91.72
2020-01-10,1484326,91.8566,91.66,91.77,91.77,91.72
2020-01-09,2583183,91.655,91.41,91.65,91.65,91.42
2020-01-08,1962334,91.715,91.41,91.52,91.52,91.57
2020-01-07,2560935,91.655,91.53,91.58,91.58,91.64
2020-01-06,2066901,91.8,91.51,91.65,91.65,91.77
2020-01-03,1114741,91.7658,91.5,91.71,91.71,91.58
2020-01-02,1585452,91.6367,91.39,91.45,91.45,91.55
