date,volume,high,low,adj_close,close,open
2020-01-31,1654025,16.8,16.1285,16.69,16.69,16.23
2020-01-30,1133692,16.115,15.56,16.1,16.1,15.64
2020-01-29,767113,15.91,15.67,15.68,15.68,15.81
2020-01-28,1514303,15.95,15.55,15.81,15.81,15.91
2020-01-27,1265004,16.06,15.56,15.93,15.93,15.56
2020-01-24,1598967,15.55,15.14,15.35,15.35,15.16
2020-01-23,1171939,15.4925,14.94,15.19,15.19,15.27
2020-01-22,1154583,16.15,15.26,15.29,15.29,15.97
2020-01-21,1577602,16.27,15.65,15.99,15.99,15.88
2020-01-17,555211,15.7,15.33,15.45,15.45,15.61
2020-01-16,677154,15.725,15.46,15.58,15.58,15.5
2020-01-15,843905,15.5,15.2,15.44,15.44,15.29
2020-01-14,1124835,15.6,15.18,15.35,15.35,15.4
2020-01-13,973182,15.63,15.13,15.34,15.34,15.25
2020-01-10,1268927,15.82,15.08,15.22,15.22,15.82
2020-01-09,1378722,16.18,15.57,15.84,15.84,16.14
2020-01-08,629613,16.37,16.04,16.11,16.11,16.14
2020-01-07,1291241,16.65,15.835,16.09,16.09,16.4
2020-01-06,1978268,16.27,15.77,16.14,16.14,16.17
2020-01-03,1036521,16.67,16.31,16.66,16.66,16.31
2020-01-02,729490,16.345,15.935,16.28,16.28,16.03
