date,volume,high,low,adj_close,close,open
2020-01-31,50835,22.6149,22.14,22.26,22.26,22.58
2020-01-30,74574,22.68,22.11,22.63,22.63,22.34
2020-01-29,53640,22.77,22.34,22.38,22.38,22.71
2020-01-28,48010,22.9,22.57,22.76,22.76,22.89
2020-01-27,129841,22.85,22.11,22.76,22.76,22.36
2020-01-24,51931,22.85,22.375,22.46,22.46,22.85
2020-01-23,88889,23.1,22.31,22.83,22.83,22.67
2020-01-22,72006,22.84,22.27,22.67,22.67,22.84
2020-01-21,61739,22.99,22.62,22.84,22.84,22.96
2020-01-17,41244,23.1,22.885,23,23,23.04
2020-01-16,64744,23.16,22.975,23.03,23.03,23.16
2020-01-15,85133,23.2,22.78,23.015,23.015,23.1
2020-01-14,39575,23.17,23.03,23.13,23.13,23.17
2020-01-13,54656,23.23,23.035,23.13,23.13,23.12
2020-01-10,61269,23.27,22.76,23.22,23.22,23.02
2020-01-09,34860,23.5,22.99,23.04,23.04,23.5
2020-01-08,51915,23.39,22.96,23.24,23.24,23.2
2020-01-07,31765,23.15,22.85,23.03,23.03,22.85
2020-01-06,64557,23.41,22.77,23.02,23.02,23
2020-01-03,26493,23.3532,22.96,23.05,23.05,22.96
2020-01-02,53374,23.4,22.95,23.04,23.04,23.3
