date,volume,high,low,adj_close,close,open
2020-01-31,630994,53.55,53.5,53.52,53.52,53.52
2020-01-30,763620,53.54,53.46,53.54,53.54,53.46
2020-01-29,617398,53.52,53.47,53.52,53.52,53.48
2020-01-28,669244,53.52,53.42,53.47,53.47,53.49
2020-01-27,813824,53.51,53.46,53.47,53.47,53.51
2020-01-24,1150691,53.45,53.42,53.44,53.44,53.42
2020-01-23,2557086,53.45,53.35,53.4,53.4,53.43
2020-01-22,745919,53.4,53.3501,53.39,53.39,53.38
2020-01-21,2626123,53.41,53.38,53.39,53.39,53.39
2020-01-17,3137260,53.37,53.32,53.37,53.37,53.33
2020-01-16,1517320,53.37,53.33,53.35,53.35,53.36
2020-01-15,2858146,53.36,53.34,53.35,53.35,53.36
2020-01-14,600672,53.36,53.28,53.36,53.36,53.33
2020-01-13,606265,53.34,53.28,53.32,53.32,53.31
2020-01-10,1617120,53.35,53.2664,53.32,53.32,53.29
2020-01-09,1543424,53.3,53.22,53.3,53.3,53.24
2020-01-08,1280486,53.33,53.26,53.28,53.28,53.31
2020-01-07,532352,53.328,53.3,53.31,53.31,53.32
2020-01-06,993273,53.35,53.32,53.34,53.34,53.34
2020-01-03,802431,53.3,53.24,53.3,53.3,53.26
2020-01-02,819233,53.25,53.2,53.22,53.22,53.22
