date,volume,high,low,adj_close,close,open
2020-01-31,12804,5.41,5.23,5.25,5.25,5.41
2020-01-30,15859,5.83,5.43,5.83,5.83,5.58
2020-01-29,17124,5.83,5.58,5.67,5.67,5.83
2020-01-28,16435,5.71,5.45,5.71,5.71,5.61
2020-01-27,19221,5.4371,5.3,5.38,5.38,5.3
2020-01-24,8170,5.86,5.4965,5.5,5.5,5.69
2020-01-23,1946,5.83,5.6,5.73,5.73,5.83
2020-01-22,39678,5.69,5.51,5.6,5.6,5.51
2020-01-21,10890,5.53,5.45,5.5,5.5,5.5
2020-01-17,13458,5.69,5.5,5.5,5.5,5.69
2020-01-16,16248,5.73,5.69,5.7,5.7,5.72
2020-01-15,19447,5.76,5.58,5.7,5.7,5.75
2020-01-13,39630,6.05,5.42,5.72,5.72,5.81
2020-01-10,7585,6,5.8098,5.83,5.83,5.83
2020-01-09,35046,5.98,5.83,5.85,5.85,5.98
2020-01-08,11831,6.14,5.85,6.07,6.07,5.82
2020-01-07,17655,6.01,5.835,5.85,5.85,5.84
2020-01-06,71399,6.2,5.64,6.08,6.08,6.13
2020-01-03,9439,6.35,6.13,6.13,6.13,6.35
2020-01-02,18779,6.32,6.21,6.21,6.21,6.289
