date,volume,high,low,adj_close,close,open
2020-01-31,135058,9.48,9.12,9.24,9.24,9.36
2020-01-30,175007,9.74,9.22,9.44,9.44,9.52
2020-01-29,176361,9.79,9.51,9.66,9.66,9.78
2020-01-28,195068,10.04,9.71,9.72,9.72,9.82
2020-01-27,425410,10.07,9.67,9.75,9.75,10.01
2020-01-24,189011,10.64,10.205,10.28,10.28,10.43
2020-01-23,194377,10.58,10.22,10.43,10.43,10.33
2020-01-22,296797,10.84,10.31,10.33,10.33,10.43
2020-01-21,335515,10.84,10.26,10.36,10.36,10.49
2020-01-17,565550,11.25,10.48,10.77,10.77,11
2020-01-16,574322,10.99,10.2107,10.95,10.95,10.34
2020-01-15,1001548,10.54,9.52,10.33,10.33,9.6
2020-01-14,405232,9.655,9.46,9.5,9.5,9.55
2020-01-13,451694,9.51,8.895,9.5,9.5,8.96
2020-01-10,284735,9.2,8.88,8.94,8.94,9.13
2020-01-09,314907,9.37,9.05,9.2,9.2,9.29
2020-01-08,591156,9.56,9.2,9.23,9.23,9.3
2020-01-07,974778,9.75,9.065,9.43,9.43,9.2
2020-01-06,1281642,9.35,8.29,9.3,9.3,8.44
2020-01-03,524198,8.27,7.63,8.25,8.25,7.71
2020-01-02,528919,7.8,7.26,7.64,7.64,7.49
