date,volume,high,low,adj_close,close,open
2020-01-31,192767,188.64,184.49,184.86,184.86,188.64
2020-01-30,58782,188.39,186.365,188.39,188.39,186.82
2020-01-29,119325,189.112,187.392,187.87,187.87,188.62
2020-01-28,63971,187.92,185.8,187.46,187.46,186.29
2020-01-27,83147,186,184.122,185.08,185.08,185.02
2020-01-24,78459,190.97,187.707,188.38,188.38,190.88
2020-01-23,58437,190.18,189,190.07,190.07,189.71
2020-01-22,88678,191,189.76,189.76,189.76,190.5
2020-01-21,67861,190.15,189.23,189.75,189.75,189.39
2020-01-17,84366,189.79,189.02,189.64,189.64,189.7
2020-01-16,61750,189.07,187.934,189.07,189.07,188.22
2020-01-15,55188,187.83,186.69,187.34,187.34,186.69
2020-01-14,78908,187.45,186.46,186.47,186.47,186.37
2020-01-13,115585,187.26,185.98,187.26,187.26,186.29
2020-01-10,92045,186.59,185.237,185.59,185.59,186.59
2020-01-09,60271,186.045,185.251,185.94,185.94,185.58
2020-01-08,86502,185.06,182.9,184.32,184.32,182.9
2020-01-07,37829,183.315,182.82,182.91,182.91,183.19
2020-01-06,122889,183.24,180.9,183.24,183.24,180.9
2020-01-03,85503,182.93,181.2,182.16,182.16,181.2
2020-01-02,69051,183.4,181.778,183.4,183.4,182.15
