date,volume,high,low,adj_close,close,open
2020-01-31,137896,128.55,120.182,123.03,123.03,128.55
2020-01-30,92937,126.79,122.175,126.53,126.53,124.86
2020-01-29,118130,127.69,125.34,126.48,126.48,126.85
2020-01-28,65991,127.33,124.63,126.69,126.69,126.57
2020-01-27,100925,126.905,123.865,125.73,125.73,124.26
2020-01-24,64007,129.66,125.84,126.94,126.94,129.66
2020-01-23,43919,130,127.565,129.74,129.74,129.89
2020-01-22,92411,131.18,128.2,130.16,130.16,128.91
2020-01-21,62713,129.14,127.253,128.33,128.33,128.24
2020-01-17,57956,128.43,127.18,128.33,128.33,128.01
2020-01-16,77185,127.78,126.74,127.05,127.05,126.9
2020-01-15,61001,127.17,125.77,126.13,126.13,126.21
2020-01-14,63254,128.75,126.585,126.99,126.99,127.7
2020-01-13,101185,130.34,126.55,128.25,128.25,126.55
2020-01-10,69102,127.25,124.35,126.71,126.71,125.11
2020-01-09,61895,125.17,122.88,124.7,124.7,125.17
2020-01-08,66161,124.96,123.298,124.1,124.1,123.52
2020-01-07,37262,124.45,122.08,123.43,123.43,123.27
2020-01-06,51868,123.72,121.345,123.36,123.36,122.76
2020-01-03,57747,124.09,120.315,123.81,123.81,121.31
2020-01-02,52558,126.09,121,123.16,123.16,122.92
