date,volume,high,low,adj_close,close,open
2020-01-31,146522,42.64,41.54,41.64,41.64,42.6
2020-01-30,99360,43.06,41.89,42.64,42.64,42.48
2020-01-29,117734,42.9,41.985,42.73,42.73,42.46
2020-01-28,89765,42.555,41.8,42.3,42.3,41.81
2020-01-27,78231,42.27,41.55,41.69,41.69,41.62
2020-01-24,139088,44.06,42.24,42.43,42.43,44.06
2020-01-23,60497,43.83,43.16,43.8,43.8,43.61
2020-01-22,70533,44.045,43.3,43.53,43.53,43.58
2020-01-21,101280,43.87,43.0155,43.54,43.54,43.44
2020-01-17,125385,43.87,42.53,43.54,43.54,43
2020-01-16,145372,42.78,42.06,42.72,42.72,42.42
2020-01-15,159648,42.66,41.76,42.04,42.04,41.78
2020-01-14,198070,42.51,41.51,41.61,41.61,42.32
2020-01-13,182943,42.69,41.84,42.19,42.19,41.92
2020-01-10,241834,41.93,41.03,41.92,41.92,41.41
2020-01-09,243274,42.3,41.02,41.25,41.25,41.95
2020-01-08,329127,42.15,40.96,41.56,41.56,41.65
2020-01-07,426733,42.15,41.105,41.59,41.59,41.44
2020-01-06,1204243,45.11,38.935,41.56,41.56,45.11
2020-01-03,94323,45.66,45.09,45.49,45.49,45.46
2020-01-02,153238,45.96,45.18,45.96,45.96,45.48
