date,volume,high,low,adj_close,close,open
2020-01-31,20361,32.21,31.01,31.11,31.11,31.74
2020-01-30,15424,32.36,31.36,32.36,32.36,32
2020-01-29,12569,33.635,32.36,32.55,32.55,33.635
2020-01-28,7709,33.48,32.71,32.9,32.9,33.1557
2020-01-27,11332,33.8932,33.17,33.42,33.42,33.23
2020-01-24,7655,34.33,33.42,33.42,33.42,33.97
2020-01-23,9465,34.62,33.695,34.26,34.26,34.4
2020-01-22,14169,34.98,33.84,34.74,34.74,33.84
2020-01-21,23920,34.67,33.25,33.74,33.74,34.22
2020-01-17,20248,35.81,34.5,34.5,34.5,35.81
2020-01-16,11564,36.24,35.54,35.54,35.54,36.05
2020-01-15,13711,36.085,35.57,35.82,35.82,35.6
2020-01-14,22948,36.15,35.54,35.64,35.64,35.55
2020-01-13,31393,35.9099,35.275,35.55,35.55,35.37
2020-01-10,16614,36.75,35.28,35.35,35.35,36.02
2020-01-09,12680,36.86,35.86,35.97,35.97,36.81
2020-01-08,7653,37.4706,36.7,36.82,36.82,37.28
2020-01-07,12030,37.89,37.0852,37.19,37.19,37.87
2020-01-06,16930,38.26,37.34,37.89,37.89,37.52
2020-01-03,11488,37.89,36.75,37.73,37.73,36.9
2020-01-02,22059,38.17,36.7601,37.55,37.55,38.17
