date,volume,high,low,adj_close,close,open
2020-01-31,2736,33.65,33.3,33.36,33.36,33.56
2020-01-30,2546,33.78,33.4887,33.78,33.78,33.49
2020-01-29,9804,33.85,33.6193,33.64,33.64,33.7302
2020-01-28,3858,33.77,33.655,33.74,33.74,33.655
2020-01-27,7744,33.7,33.54,33.605,33.605,33.575
2020-01-24,2249,34.05,33.7038,33.79,33.79,33.9464
2020-01-23,6437,33.94,33.775,33.905,33.905,33.81
2020-01-22,5338,33.9201,33.83,33.83,33.83,33.8997
2020-01-21,2921,33.807,33.65,33.78,33.78,33.749
2020-01-17,5076,33.79,33.7,33.79,33.79,33.7127
2020-01-16,5330,33.5961,33.45,33.5961,33.5961,33.55
2020-01-15,4130,33.45,33.3,33.3846,33.3846,33.3
2020-01-14,12865,33.279,33.1,33.2544,33.2544,33.2281
2020-01-13,1114,33.2308,33.1,33.2308,33.2308,33.1474
2020-01-10,9378,33.1372,33.0765,33.0765,33.0765,33.1197
2020-01-09,40396,33.11,33.05,33.09,33.09,33.0902
2020-01-08,10272,33.05,32.81,32.9438,32.9438,32.95
2020-01-07,4425,32.96,32.9,32.905,32.905,32.95
2020-01-06,7576,33.09,32.9861,33.0694,33.0694,32.9861
2020-01-03,9104,33.12,32.92,33.0721,33.0721,32.92
2020-01-02,11177,33.21,32.954,33.1,33.1,33.0901
