date,volume,high,low,adj_close,close,open
2020-01-31,14795,1.9,1.7218,1.86,1.86,1.85
2020-01-30,34144,1.98,1.7201,1.87,1.87,1.8336
2020-01-29,3774,1.95,1.8054,1.95,1.95,1.7512
2020-01-28,16914,2,1.84,1.97,1.97,1.84
2020-01-27,4884,1.99,1.84,1.96,1.96,1.89
2020-01-24,18264,2.04,1.9605,2,2,2.04
2020-01-23,13768,2.17,2,2.05,2.05,2.17
2020-01-22,41624,2.35,2.13,2.15,2.15,2.35
2020-01-21,9753,2.52,2.3,2.44,2.44,2.52
2020-01-17,18071,2.55,2.32,2.45,2.45,2.5
2020-01-16,8791,2.6,2.4064,2.45,2.45,2.6
2020-01-15,54943,2.62,2.31,2.54,2.54,2.31
2020-01-13,47258,2.54,2.3002,2.5,2.5,2.54
2020-01-10,85873,2.72,2.32,2.51,2.51,2.46
2020-01-09,303405,2.6,2,2.56,2.56,2.01
2020-01-08,8092694,4.15,2.25,2.27,2.27,3.44
2020-01-07,14886,1.78,1.56,1.7,1.7,1.63
2020-01-06,27228,1.67,1.53,1.61,1.61,1.67
2020-01-03,37351,1.7,1.5,1.63,1.63,1.5
2020-01-02,6630,1.6077,1.5,1.5,1.5,1.52
