date,volume,high,low,adj_close,close,open
2020-01-31,420369,11.65,11.14,11.24,11.24,11.62
2020-01-30,476052,12.315,11.62,11.66,11.66,12.17
2020-01-29,553821,12.91,12.18,12.38,12.38,12.43
2020-01-28,528277,13.16,12.37,12.41,12.41,12.42
2020-01-27,393089,12.28,11.4801,12.12,12.12,11.54
2020-01-24,507384,12.29,11.62,11.89,11.89,12.26
2020-01-23,354169,12.63,12.2,12.21,12.21,12.63
2020-01-22,433370,13.12,12.47,12.64,12.64,12.6
2020-01-21,634434,13.09,12.57,12.6,12.6,12.91
2020-01-17,1432712,13.42,12.71,12.93,12.93,13
2020-01-16,1131633,12.92,11.83,12.88,12.88,11.83
2020-01-15,574206,11.99,11.44,11.85,11.85,11.45
2020-01-14,607802,11.82,11.14,11.47,11.47,11.66
2020-01-13,1019553,11.8399,10.88,11.66,11.66,10.93
2020-01-10,482284,11.24,10.86,10.99,10.99,10.89
2020-01-09,575295,10.965,10.59,10.86,10.86,10.7
2020-01-08,479355,10.768,10.38,10.59,10.59,10.46
2020-01-07,444562,10.46,10.14,10.45,10.45,10.25
2020-01-06,515962,10.56,9.91,10.27,10.27,10.13
2020-01-03,864310,10.5,9.8,10.26,10.26,10.5
2020-01-02,597129,11.15,10.6,10.7,10.7,11.05
