date,volume,high,low,adj_close,close,open
2020-01-31,2787,13.75,12.34,13.75,13.75,12.49
2020-01-30,427,12.45,12.3,12.45,12.45,12.3
2020-01-29,4258,12.5,12.3,12.5,12.5,12.4
2020-01-28,1562,12.5,12.2,12.3,12.3,12.2
2020-01-27,5133,12.44,12.01,12.01,12.01,12.0129
2020-01-24,1063,12.3,12.1219,12.3,12.3,12.2319
2020-01-23,1045,12.36,12.04,12.05,12.05,12.04
2020-01-22,8691,12.44,11.6998,12.21,12.21,12.44
2020-01-21,2607,12.3986,12,12,12,12
2020-01-17,155873,12.27,11.85,12.16,12.16,12.25
2020-01-16,9070,12.25,11.536,12.15,12.15,11.536
2020-01-15,3374,12.1,11.9,12.1,12.1,11.9
2020-01-14,8705,12,11.88,11.9,11.9,11.94
2020-01-13,6709,11.93,11.2078,11.9,11.9,11.75
2020-01-10,1248,11.9,11.85,11.9,11.9,11.85
2020-01-09,827,11.94,11.71,11.94,11.94,11.71
2020-01-08,16815,11.7219,11.7,11.7,11.7,11.7182
2020-01-07,2004,11.84,11.83,11.84,11.84,11.83
2020-01-06,1824,11.95,11.7,11.76,11.76,11.7
2020-01-03,429,11.97,11.95,11.95,11.95,11.97
