date,volume,high,low,adj_close,close,open
2020-01-31,16978,26.04,26,26.022,26.022,26.03
2020-01-30,176902,26.0299,25.975,25.975,25.975,26
2020-01-29,125,25.975,25.91,25.975,25.975,25.9799
2020-01-28,1252,25.9799,25.925,25.925,25.925,25.9799
2020-01-27,368,25.9188,25.905,25.905,25.905,25.9188
2020-01-24,2576,25.97,25.93,25.93,25.93,25.97
2020-01-23,79070,25.94,25.935,25.935,25.935,25.94
2020-01-22,1622,25.98,25.935,25.935,25.935,25.98
2020-01-21,2567,25.98,25.935,25.935,25.935,25.9495
2020-01-16,11673,25.95,25.85,25.9057,25.9057,25.93
2020-01-15,3277,25.94,25.9,25.9,25.9,25.93
2020-01-13,990,25.94,25.885,25.885,25.885,25.93
2020-01-10,7019,25.96,25.89,25.89,25.89,25.96
2020-01-09,918,25.91,25.8,25.91,25.91,25.8
2020-01-08,3595,25.92,25.875,25.88,25.88,25.91
2020-01-07,48362,25.93,25.88,25.88,25.88,25.8847
2020-01-06,3592,25.91,25.88,25.88,25.88,25.91
2020-01-03,5,25.865,25.79,25.865,25.865,25.87
2020-01-02,1350,25.88,25.835,25.835,25.835,25.87
