date,volume,high,low,adj_close,close,open
2020-01-31,100185,43.04,42.3633,42.49,42.49,43.04
2020-01-30,76856,43.265,42.7937,43.21,43.21,43.02
2020-01-29,85676,43.6167,43.37,43.37,43.37,43.61
2020-01-28,128719,43.53,43.08,43.44,43.44,43.15
2020-01-27,100968,43.12,42.77,42.88,42.88,42.98
2020-01-24,85240,44.38,43.643,43.76,43.76,44.38
2020-01-23,226428,44.23,43.93,44.19,44.19,44.14
2020-01-22,176079,44.4715,44.21,44.24,44.24,44.28
2020-01-21,116720,44.23,44.06,44.06,44.06,44.12
2020-01-17,238707,44.3,44.12,44.19,44.19,44.3
2020-01-16,106037,44.17,43.98,44.16,44.16,43.99
2020-01-15,109391,43.96,43.72,43.84,43.84,43.83
2020-01-14,342833,43.9934,43.66,43.8,43.8,43.66
2020-01-13,191804,43.8,43.46,43.77,43.77,43.63
2020-01-10,330120,43.69,43.45,43.54,43.54,43.66
2020-01-09,148755,43.6,43.4,43.52,43.52,43.4
2020-01-08,96709,43.3999,42.96,43.23,43.23,42.96
2020-01-07,86092,43,42.75,42.94,42.94,42.87
2020-01-06,105666,42.8399,42.5,42.81,42.81,42.51
2020-01-03,157569,42.9269,42.57,42.75,42.75,42.69
2020-01-02,135202,43.26,42.98,43.26,43.26,43.03
