date,volume,high,low,adj_close,close,open
2020-01-31,1393,32.87,32.601,32.6331,32.6331,32.87
2020-01-30,400,33.169,32.88,33.169,33.169,32.88
2020-01-29,3943,33.13,32.9609,32.9609,32.9609,33.13
2020-01-24,3252,33.3004,33.19,33.2558,33.2558,33.23
2020-01-23,1045,33.51,33.507,33.507,33.507,33.58
2020-01-22,1438,33.68,33.63,33.63,33.63,33.58
2020-01-21,2357,33.73,33.53,33.53,33.53,33.58
2020-01-17,3686,33.66,33.645,33.645,33.645,33.65
2020-01-16,1009,33.48,33.38,33.48,33.48,33.38
2020-01-15,936,33.37,33.29,33.29,33.29,33.34
2020-01-14,4488,33.2818,33.151,33.1688,33.1688,33.2471
2020-01-13,761,33.2,33.1999,33.1999,33.1999,33.2
2020-01-10,944,33.14,33.023,33.023,33.023,33.14
2020-01-09,935,33.09,33.02,33.08,33.08,33.02
2020-01-08,788,32.9835,32.8,32.9032,32.9032,32.8
2020-01-07,760,32.7979,32.76,32.76,32.76,32.7979
2020-01-06,623,32.8568,32.84,32.8568,32.8568,32.8526
2020-01-03,2708,33,32.91,33,33,32.91
2020-01-02,35,33.2,33.07,33.07,33.07,33.21
