date,volume,high,low,adj_close,close,open
2020-01-31,78217,1.5,1.42,1.5,1.5,1.5
2020-01-30,73342,1.65,1.54,1.54,1.54,1.58
2020-01-29,60119,1.7,1.56,1.63,1.63,1.56
2020-01-28,37492,1.6,1.56,1.59,1.59,1.58
2020-01-27,53940,1.65,1.56,1.6,1.6,1.65
2020-01-24,81468,1.78,1.6502,1.6884,1.6884,1.7
2020-01-23,195527,1.72,1.65,1.7,1.7,1.65
2020-01-22,15943,1.67,1.63,1.65,1.65,1.6252
2020-01-21,84362,1.67,1.58,1.64,1.64,1.58
2020-01-17,75833,1.71,1.67,1.68,1.68,1.69
2020-01-16,154272,1.73,1.62,1.685,1.685,1.62
2020-01-15,423337,1.71,1.5201,1.71,1.71,1.55
2020-01-14,60931,1.63,1.56,1.565,1.565,1.56
2020-01-13,144462,1.6667,1.56,1.59,1.59,1.6661
2020-01-10,157528,1.7,1.6,1.66,1.66,1.67
2020-01-09,53126,1.6784,1.5501,1.66,1.66,1.6
2020-01-08,154980,1.59,1.4496,1.57,1.57,1.4695
2020-01-07,33052,1.48,1.43,1.45,1.45,1.43
2020-01-06,82322,1.49,1.43,1.47,1.47,1.49
2020-01-03,180069,1.52,1.29,1.48,1.48,1.29
2020-01-02,47638,1.33,1.2957,1.32,1.32,1.3
